topic,title,source,article_url,rank_within_feed,relative_popularity,timestamp,feed_count,composite_score
TOP,Exclusive: Trump Administration Plans to Announce Coalition to Escort Ships Through Strait of Hormuz - WSJ,WSJ,https://news.google.com/rss/articles/CBMilgJBVV95cUxPNUF1SjZCbE9WSzZnQ0U0bkZ6RV9sR0o2Nm1YSU53ZnBQMVdoeWIxSTh0d3V3eGFlY3h0UWRHYVYweFFRdG5GeVBjSmN3b2pRTmNmTldjWFRIWURqb1AxakdBd1VqZmVCOU5XdzgzanlUUTlpcl9VanB5UWR2Q0gydkNlQkljSGJ4MkZSaHhiQzFPSUh1NnhfTlQ3dUFVWmdaYnhmYlVjZHZJX1htX1otd2gwRVdOdWYzOFBxbHlKUWhrTUlLQmNsY3lpWHNubFJXbXJDMnlfdi1tdDNaRlIzakt2NFdMWWsyb1h4VEFWTXFZdGhWYWJVYlRHaXVzNHhJWjhWaGVXa0VBNThBX3dLQzZLUkxhZw?oc=5,1,1.0,2026-03-16 09:06:34.898265,2,1.2
TECHNOLOGY,Leaked Samsung Galaxy Z Wide Fold specs show marginal upgrades over Galaxy Z Fold 7 - PhoneArena,PhoneArena,https://news.google.com/rss/articles/CBMiuwFBVV95cUxOUERRWFlubUM5WUNDNVhubXpLdlVpM3dCazBIekkzNGtWWUFJRS1GMGxDcjBwWXVFbmJKZGtqQ1ZIVzc4dUZKQ0Y1WEFYcFltdUVhTURfNlB0alI5b0QzUEpFZWtYNnNoRnZaTDJmSWtGazFpcFJ0TVR0c0QtcTdrVEoxVmNMYk0zalY4Qk1DMk5Dai05VjNGVkk5OWI4TjhQUGtEaEtGSmduX1FNWHd4amFxOGd2dVk4Uzhz?oc=5,1,1.0,2026-03-16 09:06:36.296922,2,1.2
SCIENCE,"In physics first, Chinese scientists create rare 'hexagonal diamond' that's harder than natural diamond - Live Science",Live Science,https://news.google.com/rss/articles/CBMi4AFBVV95cUxNdmhQdV92ZWdQQnB0LVdvZzllQzR4bzY0dTVPN2d1Qm9FM3BaMTROTVptTk5kdGg2ck1VYU5hMTIxbVVwRTBhYUpKcE5qejFFcndHTVNqUmxEdUIzWEk4cy1qX05weDFHT21Tc1lfczFyRDNOYVdEMjlOREJPOS1KWC1iOWhDT0FCN09xY2s2cUZqeUc0MkhzWHN0dUo5V25mVkdnQ2xxWE5tTFc1U0Z5WVE5dGpabXN4N0ZjbGpCSnFDTUtHc2JmZzVnWC1MNEZUcE40RXRnZVkyN1FVQ00tag?oc=5,1,1.0,2026-03-16 09:06:39.010512,2,1.2
ENTERTAINMENT,Oscars 2026 winners and recap: 'One Battle After Another' named Best Picture; Jessie Buckley and Michael B. Jordan take home acting awards - Yahoo,Yahoo,https://news.google.com/rss/articles/CBMiogJBVV95cUxQZ0pxaXJkYkM0MnNqWjFnMHBYcnJYb1hId3ZVcFRiZHMxMlBBd1BvNEdUR3BySzNRXy1lODd0OHI5aGpjX2R2SnRRcVpFQkQ1QkFxSlNoNWgxVXZIVUNZODJoVWhPQ2IxWGhQMHZJekw3OE01RzdoSXRKeFFhX0RvVGwweko5RURJaTJaZ2NJTjN2Ni1KMDhBYkNNWUpOWWZWUjBOVlJkZ3JGWWtSOVNWTUpvTVpnMW5xZzBMZW5LcnQ5X3dhdDFJeTZZSjBqNVE1djNZR3A2dm80WVhQdVFFWUhkRTZMTHFOTEJZMGR6dG5uX2JKbVhNeTZKcFpPTUR0MUtyZ0ZuUXE0RXB4T3luYThXU3dlMDI2d29ucXR3QU9Tdw?oc=5,1,1.0,2026-03-16 09:06:37.799362,2,1.2
SCIENCE,Is Artemis 2 Too Risky for Astronauts? NASA Won’t Give a Clear Answer - The Daily Galaxy,The Daily Galaxy,https://news.google.com/rss/articles/CBMigAFBVV95cUxOem1qN01zbk91dW9qaElja3ZaVWh0WnN0RTVMMXlZMi1CZlFvTkVPRTNQcm9hRHZOT01YdGFmUTBhN012OHp4c3NBZW5JVm96ODNvM2gyZEJBQzNsTHVza0F0TzVQaWx2dnpaeVJVTS1UeHJXdzlQc1lqSUpJY2l5Tg?oc=5,2,0.999,2026-03-16 09:06:39.010522,2,1.1987999999999999
TOP,Map shows how 16 days of attacks have evolved in US-Israel war on Iran - Al Jazeera,Al Jazeera,https://news.google.com/rss/articles/CBMisAFBVV95cUxQZW5IN1czWERXZTdQQUxNRURyRXFBQkhfR0pWZ0MzMjhJaFFsc0pyRGdDNm5RMk5YVzRwX1J5YzdvQVNQb3ZJaVhjYzNZaFFaWGVnZ28zRGg5OHBkZ1d1YkhkOW5hcTFXdFloZ21UZjVLQUJrRG43ZXpFYnhIQTVUNVZmRjFWQ1ItTHRJU3Qxb3NaUWhGdjFFUjJHVXB0MDBRSloxZGduMkZLYVNFVjFsZNIBtgFBVV95cUxQMVA4UDZKdE5oS2VZZ1N0QXJUSjh2NHB6RVhoa08wcjVCSFB0aDl6bDJuSHNhZTlGazR4djd5TXEyTGUxUmhVVjl5Y09acDVUdHNNbGx4UVMtdXdrMUJzUTNUMWJOQzJqazZCQ3A2em5hZEtPSzliSEQzWk40Z0JTekhPU2hRQUFoRjlBazZaU0VyMHlTSkROdXhPVDhJdjNkenJoSmg2V0h0cko5MGxuQlY0V0J4QQ?oc=5,2,0.999,2026-03-16 09:06:34.898274,2,1.1987999999999999
WORLD,Marseille’s Tight Mayoral Race Is a Bellwether for France’s Future - The New York Times,The New York Times,https://news.google.com/rss/articles/CBMimgFBVV95cUxPTHdMWDJsYWpCanh2TDJIT0VnV1hWZC02ZXhjaGk1NFlRN05CT0RsSGhGZHljUTkzOS1QZTZralA2SGFWM2p4M3lLTjVKdU5GNk9wTFl6OXl2ckZGbzkyLUlRYlQ0aWtNVGt1QzZLUWNoa2d5MVJTWTBTTng0ckptZ2wxbGFSdnVoLUxFaDkwYkRQQTRMbWZFbXdn?oc=5,2,0.999,2026-03-16 09:06:35.590588,2,1.1987999999999999
TECHNOLOGY,iOS 27 Will Reportedly Be Like Mac OS X Snow Leopard - MacRumors,MacRumors,https://news.google.com/rss/articles/CBMilAFBVV95cUxQVEE5N2JOSTljakVoVmtoZDRlVk5lZ2F1bm9JYmk1RjU4TXpqaVIxeGtTRzNvVFhXbkt0MVBtOXVibjIwelFZZVdyZTdkazdoZEtmRGlJWW5xREFZRDUyRV90UHpON0E0Ujh0Rkpual94OGhjT0czSTJtbE9lZEVfWEpQRjhDM2R5T183LUtCUHZDdFFz?oc=5,2,0.999,2026-03-16 09:06:36.296934,2,1.1987999999999999
SCIENCE,"Two days, two coasts, two more SpaceX Starlink batches launched - Space",Space,https://news.google.com/rss/articles/CBMi5AFBVV95cUxOWmdGZl8teEczTE5hNlIyb0lGdVVGTG5EXzJBR2JsSlpUSFI3aF9kdF9fMUhMQzVWSTNOeXZSTHlNOV8yeUdqQmxvbDFBRS1sVThpNzNGaWpyVDhaTktMT1hvWndocTJ5SFlxWFpBWlI0QXBMOXJlMS02clptNVUtQy1qOGxNNDBlUExmT1oteXFkTFF1eHhTQjhqQmI4dzZzQVlzNVJ3QVNLQW9wZmVqMFE5ckVMZTZBNFVEY01zU2Q3d2ZKNWpTbW81d3J6NW50eEhmMnBlakVFaHlfc2ZqVl9MOEE?oc=5,3,0.998,2026-03-16 09:06:39.010526,2,1.1976
TECHNOLOGY,Aether OS is a computer in a browser built for the AT Protocol - The Verge,The Verge,https://news.google.com/rss/articles/CBMidEFVX3lxTE5rSVFHYTlvMnlKbFF0WmdIQ09qd1haZlFrVDhqWEVQVzhPbmlFUkt6bVQtMVdfQ1BWOFltV0RYVWlOWTV1aFBSeEpqTzZNRVltbEFOTFk1bW5ST2VZeFhsdl9qRzVVZDhrNjZHQk10aHVIenBG?oc=5,3,0.998,2026-03-16 09:06:36.296938,2,1.1976
